2 rbox 15486 D2 z
15486
-999984 -736924 
511211 -82700 
65534 -562082 
-905911 357729 
358593 869386 
-232996 38833 
661931 -930856 
-893077 59400 
342299 -984604 
-233169 -866316 
-165028 373545 
177953 860873 
692334 53858 
-816070 307838 
-168001 402381 
820642 524396 
-475094 -905071 
472164 -343532 
265277 512821 
982075 -269323 
-505922 965101 
445321 506712 
303037 -854628 
263269 769414 
-454580 -127177 
532990 -44536 
-524451 -450186 
-281470 -666986 
-26965 795313 
818416 -878871 
809306 9046 
32584 -361934 
973284 -12047 
-467711 -818534 
895529 -852502 
1414 -231716 
-445836 827635 
59495 -71108 
881960 -899832 
523029 540409 
655635 -749269 
-968265 376911 
736494 259087 
472449 450824 
998916 777144 
-533610 -387356 
-297970 26547 
182227 691963 
-175838 683021 
-461365 -169211 
74608 -64165 
-425575 -643345 
-692560 143310 
604811 -933892 
68900 -3040 
910722 496585 
109168 781475 
249699 684079 
-680465 -574497 
429420 -739145 
-818019 -450824 
-994001 -171413 
-946247 419639 
875795 -520178 
-638208 -364921 
773981 304117 
-699330 362692 
-228371 -224549 
-518 -704934 
174373 691151 
180217 910818 
112292 -703697 
966610 -182467 
-716360 129797 
-495747 -22971 
-71939 922190 
-747938 -600486 
-361501 258538 
-746576 302507 
243268 606146 
-504316 -47136 
-221372 -593499 
-943250 803347 
-147005 -715958 
894974 -179374 
-737623 771297 
-815653 -675603 
-857873 -269322 
-493885 -729781 
566306 -89385 
-300952 -95400 
617889 863349 
303292 -569503 
359185 817844 
-499749 721720 
-57475 11912 
200787 635123 
511687 -75510 
902735 265477 
-121339 649395 
377962 404413 
974291 908830 
702539 -421368 
74851 28869 
-793132 -171943 
153433 753131 
-119923 459495 
738527 431285 
601441 413071 
483432 -961815 
772062 49975 
-73355 -869612 
426845 -22114 
335358 364098 
-600891 833268 
731765 780037 
87897 -721610 
-99305 978725 
-568936 -107953 
-368535 29319 
763008 -120549 
-64936 613300 
-269684 -576962 
998233 -692791 
260977 232701 
-998810 -998242 
546704 454670 
-361645 -164553 
364988 361124 
-589476 672840 
417841 657416 
-810902 -836525 
528010 259144 
-572296 -572906 
-837878 -222354 
904319 895090 
-220293 -461571 
384338 -431930 
553732 567730 
-155080 -435688 
-612065 -977368 
-616352 966472 
-511892 639452 
-727090 -203713 
202020 -646239 
656709 -684538 
975874 -485663 
-532802 -796725 
-561179 269435 
392015 589540 
392486 505881 
339041 266860 
-887119 196433 
-545985 -362444 
399669 -765126 
525141 52247 
107823 175978 
-340667 405979 
-713909 -676625 
-29350 720451 
626531 113672 
477993 -367985 
-729336 57097 
-378522 176238 
36167 -138304 
-482314 -259547 
-213965 -106268 
-48208 -224338 
-441414 -843474 
-260516 -492155 
343568 352474 
27873 457217 
441536 889506 
-78605 880326 
-356880 -79132 
34291 322711 
-196334 211279 
973005 -699212 
340197 -312365 
83420 45615 
658477 -970099 
-451581 285958 
92273 835695 
-466773 940173 
-506534 687951 
388047 -88497 
634203 -955833 
-678502 413900 
415653 -126723 
164842 503420 
983066 391358 
-440977 507725 
-657642 -991492 
-8618 -840166 
-673838 806602 
565984 493358 
-127149 -987317 
169574 36957 
-866300 88045 
-220537 -568348 
-228461 253723 
318107 418640 
77323 -439422 
631864 -256181 
372203 -379662 
-981305 -792405 
41920 551761 
-558630 -889442 
-858730 -679452 
447527 -405956 
-898795 -44391 
-85676 39977 
-107021 -699377 
-428115 667364 
391275 155552 
362329 -337650 
-885049 973766 
84786 -996685 
712385 -941289 
-244899 -20697 
152346 477917 
358664 72534 
-928825 -754986 
946711 -623448 
-297363 228251 
215223 -748134 
105724 908057 
-286150 676203 
948505 -481972 
-496945 -151328 
626096 795828 
-510828 521235 
389713 -96298 
-472760 331007 
-766858 -580875 
-772649 93950 
-987841 -648051 
198719 -136183 
-834987 374829 
-249380 672413 
-752725 946692 
-940729 -839294 
-11511 538875 
868061 -499689 
-280684 538228 
-89 498503 
343807 363332 
513540 -927265 
-538856 -556665 
125204 305244 
233221 -257069 
-550398 -532617 
306023 -668145 
488208 -680485 
-904723 323987 
-750110 898314 
-31639 242091 
828050 -964111 
187091 443743 
-6836 -892611 
-116735 38350 
543888 -869287 
-114419 954360 
-64517 -341888 
-108140 486548 
-589317 -657241 
-254960 879451 
929703 -490085 
-859330 -752302 
52676 -679834 
35414 -789630 
683152 -262876 
-152219 -345545 
427093 153552 
743768 516492 
673196 399582 
-221880 870483 
211205 -275833 
79009 -89855 
-196616 -519119 
-833829 -156843 
-55240 -420467 
-790062 -567228 
604037 54878 
337641 727286 
-512499 423129 
-472674 -234357 
-837989 -80474 
-534266 590705 
-17314 -993542 
-467762 329378 
-149618 -626351 
926951 -731922 
591711 892089 
-657690 212003 
-872393 -305017 
-415064 19316 
651673 668677 
452886 -341131 
604169 263527 
-909319 -917159 
-693370 534130 
-876537 38606 
858300 -558969 
-590874 -822015 
399382 412923 
-10738 -476443 
423143 -243268 
-598711 -534785 
-127808 -61003 
722375 954477 
-110962 -931514 
47543 -936722 
506348 183176 
645782 -340842 
-535844 73057 
-138763 -192838 
974649 933819 
701061 735028 
-376790 -703219 
995197 279047 
-63851 863829 
381545 630814 
83069 145613 
-681568 890501 
642667 -689172 
-917850 -312773 
-779961 -806923 
37547 -955190 
122967 713752 
33816 349049 
474350 396921 
-954401 -616032 
341982 -308257 
-867419 -718579 
842235 -556687 
-239771 172032 
